,Container Type,Property,Data Type,Property Definition,Attribute,Abstract,Inline,Reference,Substitution Group Head,Augmentation of Type,Keywords,Example Content,Usage Info,Source,Comments,Facets List
ID,(qualified type),(qualified property),(qualified type),,(default = FALSE),(default = FALSE),(default = TRUE),(default = FALSE),(qualified property),(qualified type),,,,(optional),,
1,,em:Notification,em:NotificationType,"A written or printed notice or announcement intended to inform a specific audience of a message. A notification may only contain one message.

",FALSE,FALSE,TRUE,FALSE,,,,,"(1) MUST include the xmlns attribute referencing the CAP URI as the namespace, e.g.: <cap:alertxmlns:cap=""http://www.incident.com/cap/1.1""> [sub-elements]</cap:alert> 
(2) In addition to the specified subelements, MAY contain one or more <info> blocks.
(3) Required
(4) The distribution type applies to the function of the content objects as a set. Those cases where payloads have different distribution types should be clustered in different distribution elements.
(5) The type MUST be a properly formed -escaped if necessary- XML string.",cap:alert,,
2,em:NotificationType,em:NotificationConfidentialityText,nc:TextType,Confidentiality of a notification.,FALSE,FALSE,TRUE,FALSE,,,,,"(1) Optional field, may only be used once and only once.
(2) MUST be a properly formed -escaped if necessary- XML string.",de:confidentiality,,
3,em:NotificationType,em:NotificationID,niem-xsd:string,"The identifier of the alert message. A number or string uniquely identifying this message, assigned by the sender.",FALSE,FALSE,TRUE,FALSE,,,,,"(1) MUST NOT include spaces, commas or restricted characters (< and &)
(2) Required",cap:Message ID,,
4,em:NotificationType,em:NotificationFunctionCategoryCode,em:NotificationFunctionCategoryCodeType,The code  value denoting the nature of the notification message. ,FALSE,FALSE,TRUE,FALSE,,,,"Alert, Update, Cancel, Ack, Error",(1) Required,cap:msgType,,
5,em:NotificationType,em:NotificationKeywordText,nc:TextType,A significant word or phrase related to the notification message. It may determine message routing decisions. ,FALSE,FALSE,TRUE,FALSE,,,,"Examples of things <keyword> might be used to describe include event type, event etiology, incident ID, and response type.","1. The list and associated value(s) is in the form:
   <keyword>
      <valueListUrn>valueListUrn</valueListUrn>
      <value>value</value>
   </keyword>
where the content of <valueListUrn> is the Uniform Resource Name of a published list of values and definitions, and the content of <value> is a string (which may represent a number) denoting the value itself.
2. Multiple instances of the <value>, MAY occur with a single <valueListUrn> within the <keyword> container.
3. Multiple instances of <keyword> MAY occur within a single <EDXLDistribution> container.
(4) Optional",de:keyword,,
6,em:NotificationType,em:NotificationLanguageCode,iso_639-3:LanguageCodeType,"The code denoting the primary language used in the payload or body of the notification message.
",FALSE,FALSE,TRUE,FALSE,,,,"FR, EN","(1) Code Values: Natural language identifier per [RFC 3066].
(2) If not present, an implicit default value of ""en-US"" SHALL be assumed.
(3) A null value in this element SHALL be considered equivalent to “en-US.”
(4) Optional","cap:language
de:language",,
7,em:NotificationType,em:NotificationOriginationDateTime,nc:DateTime//need Type,The originating date and time of a notification.,FALSE,FALSE,TRUE,FALSE,,,,2004-08-01T16:49:00-07:00,"(1) Required, must be used once and only once
(2) The Date Time combination must include the offset time for time zone",de:datetimesent,,
8,em:NotificationType,em:NotificationOriginator,abstract,"Unique organization, unit, or individual that is the originator of the notification.",FALSE,TRUE,TRUE,FALSE,,,,,,,,
9,em:NotificationType,em:NotificationOriginatorContactEmail,niem-xsd:string,"The unique email identifier of the sender. Uniquely identifies human parties, systems, services, or devices that are all potential senders of the distribution message in the form actor@domain-name. Uniqueness of the domain-name is guaranteed through use of the Internet Domain Name System, and uniqueness of the actor name enforced by the domain owner.",FALSE,FALSE,TRUE,FALSE,em:NotificationOriginator,,,dispatcher@example.gov,"(1) In the form actor@domain-name.
(2) Uniqueness of the domain-name is guaranteed through use of the Internet Domain Name System, and uniqueness of the actor name enforced by the domain owner.
(3) The identifier MUST be a properly formed -escaped if necessary- XML string.
(4) Required, must be used once and only once",de:senderID,,
10,em:NotificationType,em:NotificationOriginatorIdentification,nc:IndentificationType ,"The identifier for the sender of the alert message. Guaranteed by assigner to be unique globally; e.g., may be based on an Internet domain name.
",FALSE,FALSE,TRUE,FALSE,em:NotificationOriginator,,,,"(1) Guaranteed by assigner to be unique globally; e.g., may be based on an Internet domain name 
(2) MUST NOT include spaces, commas or restricted characters (< and &)
(3) Required",cap:senderID,,
11,em:NotificationType,em:NotificationOriginatorNameText,nc:TextType,The text naming the originator of the alert message. This may be the name of an individual or an organization. This is the human-readable name of the agency or authority issuing this notification.,FALSE,FALSE,TRUE,FALSE,em:NotificationOriginator,,,,(1) Optional,cap:senderName,,
12,em:NotificationType,em:NotificationOriginatorRoleDescriptionText,nc:TextType,"The description of the message originator's role, as it may determine message distribution and presentation decisions. The list and associated value(s) is derived from the Uniform Resource Name of a published list of values and definitions, and the content is a string (which may represent a number) denoting the value itself.
",FALSE,FALSE,TRUE,FALSE,,,,,"(1) The list and associated value(s) is in the form:
   <originatorRole>
      <valueListUrn>valueListUrn</valueListUrn>
      <value>value</value>
   </originatorRole>
where the content of <valueListUrn> is the Uniform Resource Name of a published list of values and definitions, and the content of <value> is a string (which may represent a number) denoting the value itself.
(2) Multiple instances of the <value>, MAY occur with a single <valueListUrn> within the <originatorRole> container.
(3) Multiple instances of <originatorRole> MAY occur within a single notification.
(4) Optional, may use multiple",de:senderRole,,
13,em:NotificationType,em:NotificationOriginatorRoleIdentification,nc:IdentificationType,"The identifier of the message originator's role, as it may determine message distribution and presentation decisions. The list and associated value(s) is derived from the Uniform Resource Name of a published list of values and definitions, and the content is a string (which may represent a number) denoting the value itself.
",FALSE,FALSE,TRUE,FALSE,,,,,,,,
14,em:NotificationType,em:NotificationRecipient,abstract,"Organization, unit, or individual that is the recipient of the notification.",FALSE,TRUE,TRUE,FALSE,,,,,,de:consumerRole,,
15,em:NotificationType,em:NotificationRecipientContactEmail,niem-xsd:string,"The unique email identifier of the recipient. Uniquely identifies human parties, systems, services, or devices that are all potential recipients of the distribution message in the form actor@domain-name. Uniqueness of the domain-name is guaranteed through use of the Internet Domain Name System, and uniqueness of the actor name enforced by the domain owner.",FALSE,FALSE,TRUE,FALSE,em:NotificationRecipient,,,recipient@example.gov,"(1) In the form actor@domain-name.
(2) Uniqueness of the domain-name is guaranteed through use of the Internet Domain Name System, and uniqueness of the actor name enforced by the domain owner.
(3) The identifier MUST be a properly formed -escaped if necessary- XML string.
(4) Optional, must be used once and only once",,,
